Carrier / MGA,Program/Product name,Paper,States available,Form code(s) & edition date,Specimen/wording PDF link,Product/coverage page link,Min/Max limit,Target segments,Notable features,Last verified date
Beazley,MediaTech,E&S,Not specified,F00731 (022019 ed.),https://www.beazley.com/globalassets/product-documents/policy-form/beazley-media-tech-policy-us.pdf,https://www.beazley.com/us/specialty-risks/cyber-and-technology/,Not specified,"Technology companies, media companies","Claims made basis, combined cyber and tech E&O coverage, includes breach response, regulatory defense, payment card liabilities, first party data & network loss, eCrime, Criminal reward",September 2025
Travelers,CyberRisk Tech,Admitted,Not specified,Not specified,Not found,https://www.travelers.com/business-insurance/cyber-insurance/technology,Not specified,Technology and life sciences companies,"Tailored insuring agreements including E&O, cyber protection, breach response, cybercrime coverages, business loss coverages",September 2025
Chubb,DigiTech ERM,Admitted,Not specified,Not specified,https://www.chubb.com/content/dam/chubb-sites/chubb-com/ca-en/business-insurance/digitech-enterprise-risk-management-digitech-erm/documents/pdf/canada-digitech-erm-brochure.pdf,https://www.chubb.com/us-en/business-insurance/products/cyber-insurance/cyber-insurance-products.html,Not specified,"Technology companies, all sizes","Technology errors and omissions for financial injury to third parties, cyber privacy and network security liability, media liability, business interruption, digital data recovery, neglected software exploit endorsement",September 2025
AXA XL,E&O for Technology Firms,E&S,Not specified,Not specified,Not found,https://axaxl.com/insurance/products/errors-and-omissions,"Up to $25M (E&O), Up to $15M (Cyber/Tech E&O/Media for 100M+ revenue companies)","Technology firms, mid-sized and multinational companies","Customized coverage, primary and excess, non-admitted US domiciled businesses",September 2025
CNA,TechComplete,Admitted,Not specified,"TechComplete Admitted 06/11, Enterprise Professional Solutions (EPS+) Non Admitted 06/11",https://www.cna.com/system/files/agentcenter/9ae05cc8-5d5f-4b16-a510-e909fc48da6f/TechSSTechCompleteAgents_CNA.pdf,https://www.cna.com/industries/technology,Not specified,"Technology companies, information technology, electronics manufacturing, telecom service providers","Technology Errors & Omissions with Information Risk and Media Liability endorsements, all products and services covered unless excluded, worldwide coverage, no exclusions for delay in delivery or unauthorized access",September 2025
Zurich North America,Pro Plus,Admitted (most states),Most states,Not specified,Not found,https://www.zurichna.com/insurance/errors-and-omissions,Not specified,"Technology, manufacturing, professional service industries","Flexible modular format, duty to defend, defense costs for privacy-related regulatory proceedings, consumer-redress funds coverage, cyber security solutions",September 2025
The Hartford,FailSafe Technology Liability,Admitted,Not specified,Not specified,https://assets.thehartford.com/image/upload/failsafe_overview_flyer.pdf,https://www.thehartford.com/professional-liability-insurance/errors-omissions-insurance/technology,Not specified,"Software developers, IT service providers, hardware manufacturers, telecom carriers","E&O liability, security liability, data privacy and network security liability, personal injury liability, intellectual property liability, media liability",September 2025
Hanover,Technology Professional and Cyber Advantage (TPCA),Admitted,Not specified,Not specified,https://lakeside-insurance.com/wp-content/uploads/2023/08/TPCA-Coverage-Guide-114-10155.pdf,https://www.businessinsurance.com/hanover-unveils-eo-cyber-product/,"$25M for tech professional/third-party cyber, $10M for first-party cyber",Technology businesses from startups to large multinational corporations,"Integrated E&O, cyber and privacy security liability, personal injury liability, media and content liability, full array of first-party cyber coverage options",September 2025
Markel,Cyber 360,Not specified,Not specified,Not specified,Not found,https://www.markel.com/us/commercial/professional-and-management-liability/cyber,Not specified,"Financial services, retail, manufacturing, technology, healthcare","Technology professional liability covers errors, omissions, or misrepresentations in technology services, customizable cyber insurance policy",September 2025
AIG,Specialty Professional Liability,Not specified,Not specified,Not specified,https://www.aig.com/content/dam/aig/america-canada/us/documents/business/professional-liability/specialty-professional-liability.pdf,https://www.aig.com/home/risk-solutions/business/management-and-professional-liability/professional-liability,Not specified,Technology services and products providers,"Tailored definition of Professional Services including Technology Services and Products, extends to economic losses, flexibility to settle claims within retention without insurer consent",September 2025
Coalition,Technology Errors & Omissions,Not specified (MGA),Not specified,Not specified,Not found,https://www.coalitioninc.com/technology-errors-and-omissions-insurance,Not specified,Organizations that provide technology products or services in exchange for a fee,"Active Errors & Omissions insurance, combined with market-leading Active Cyber Insurance, comprehensive protection against technology errors and omissions, access to Coalition Control platform",September 2025
At-Bay,Tech E&O Insurance,Not specified (MGA),Not specified,Not specified,https://www.at-bay.com/wp-content/uploads/2023/09/AB-TEO-SAP_Technology-Cyber-Insurance-Short-Application-_ED.08.2023.pdf,https://www.at-bay.com/insurance/tech-eo/,Up to $10M for companies with revenue up to $5B,"Software, hardware, service providers, technology consulting firms, value-added resellers, digital marketing firms","Breach of contract coverage expanded beyond standard technology liability, no exclusions for breach of warranties or consequential damages, broad IP infringement coverage, service credits included in damages definition",September 2025
Corvus,Smart Tech E&O,Not specified (MGA),Not specified,Not specified,https://www.corvusinsurance.com/hubfs/Tech%20E-O/Corvus%20-%20Smart%20Tech%20EO%20specimen.pdf,https://www.corvusinsurance.com/smart-tech-e-o-and-excess,Not specified,Technology services and software companies,"Combination of cyber insurance and tailored E&O coverage, includes all Smart Cyber Insurance policy coverage plus Technology and Professional Services Liability, eliminates finger-pointing between carriers",September 2025
Vouch,Technology Errors and Omissions Insurance,Not specified (MGA),Not specified,Not specified,Not found,https://www.vouch.us/coverages/tech-e-and-o,Not specified,Startups and technology companies,"AI Insurance add-on covers algorithmic bias and IP infringement, HealthTech and Fintech endorsements available, coverage for negligence, breach of warranty, misrepresentation, product failures, copyright of software code",September 2025
Swiss Re Corporate Solutions,Technology Liability Insurance,Not specified,Not specified,Not specified (08-24),https://corporatesolutions.swissre.com/dam/jcr:39151bac-841e-49df-b4ed-e12525243a8a/swiss-re-corporate-solutions-technology-liability-insurance-policy-wording2024.pdf,Not found,Not specified,Technology companies,"Professional Liability, Public Liability, Technology Product Liability sections, various extensions including intellectual property, defamation, emergency costs",September 2025
